"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 02 14:58:53 GMT 2023","Thu Nov 02 14:59:02 GMT 2023","8750","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Thu Nov 02 14:59:27 GMT 2023","Thu Nov 02 14:59:35 GMT 2023","8415","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Thu Nov 02 14:59:10 GMT 2023","Thu Nov 02 14:59:18 GMT 2023","8415","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Thu Nov 02 15:00:11 GMT 2023","Thu Nov 02 15:00:18 GMT 2023","7395","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Thu Nov 02 14:58:38 GMT 2023","Thu Nov 02 14:58:52 GMT 2023","14856","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Thu Nov 02 14:59:56 GMT 2023","Thu Nov 02 15:00:04 GMT 2023","7349","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Thu Nov 02 15:00:18 GMT 2023","Thu Nov 02 15:00:26 GMT 2023","7190","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Thu Nov 02 14:59:19 GMT 2023","Thu Nov 02 14:59:27 GMT 2023","8373","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Thu Nov 02 14:59:48 GMT 2023","Thu Nov 02 14:59:56 GMT 2023","7811","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Thu Nov 02 15:00:04 GMT 2023","Thu Nov 02 15:00:11 GMT 2023","7374","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Thu Nov 02 14:59:02 GMT 2023","Thu Nov 02 14:59:10 GMT 2023","8392","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Thu Nov 02 14:59:35 GMT 2023","Thu Nov 02 14:59:48 GMT 2023","13054","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
